date,player,map,start_side,kills,deaths,assists,mvps,won
2024-01-05,Raphaël,Dust2,CT,24,9,3,2,true
2024-01-06,Kiara,Mirage,T,18,8,2,3,true
2024-01-10,Raphaël,Mirage,T,19,11,4,1,false
2024-01-11,Kiara,Inferno,CT,21,7,1,2,true
2024-01-14,Raphaël,Inferno,CT,22,9,5,3,true
2024-01-15,Kiara,Nuke,T,15,12,3,1,false
2024-01-19,Raphaël,Nuke,T,17,10,2,1,false
2024-01-20,Kiara,Dust2,CT,23,8,2,3,true
2024-01-24,Raphaël,Ancient,CT,25,8,4,2,true
2024-01-25,Kiara,Anubis,T,22,8,3,2,true
2024-01-29,Raphaël,Dust2,T,16,12,3,1,false
2024-01-30,Kiara,Mirage,CT,24,7,2,3,true
2024-02-03,Raphaël,Mirage,CT,23,8,5,2,true
2024-02-04,Kiara,Inferno,T,19,9,2,2,false
2024-02-07,Raphaël,Inferno,T,18,11,4,1,false
2024-02-08,Kiara,Nuke,CT,26,7,1,4,true
2024-02-12,Raphaël,Nuke,CT,22,8,3,3,true
2024-02-13,Kiara,Dust2,T,16,11,3,1,false
2024-02-17,Raphaël,Ancient,T,14,13,4,0,false
2024-02-18,Kiara,Anubis,CT,22,8,2,3,true
2024-02-22,Raphaël,Dust2,CT,24,8,4,3,true
2024-02-23,Kiara,Mirage,T,23,8,2,2,true
2024-02-27,Raphaël,Mirage,T,20,10,5,2,false
2024-02-28,Kiara,Inferno,CT,25,7,1,4,true
2024-03-04,Raphaël,Inferno,CT,21,9,3,2,true
