date,player,agent,kills,deaths,assists,headshots,rounds_won,won
2024-01-02,Dylan,Omen,20,6,3,8,6,true
2024-01-03,Dylan,Astra,17,6,9,5,7,false
2024-01-04,Dylan,Brimstone,15,7,7,2,12,false
2024-01-05,Dylan,Jett,11,5,9,10,9,true
2024-01-06,Dylan,Jett,11,13,8,7,6,false
2024-01-07,Dylan,Neon,18,12,2,8,12,false
2024-01-08,Dylan,Jett,11,5,2,9,10,false
2024-01-09,Dylan,Brimstone,22,7,8,3,5,true
2024-01-10,Dylan,Jett,9,8,9,7,6,false
2024-01-11,Dylan,Jett,13,5,9,2,9,true
2024-01-12,Dylan,Jett,16,9,6,2,12,false
2024-01-13,Dylan,Astra,10,10,2,10,13,false
2024-01-14,Dylan,Neon,19,5,5,3,8,true
2024-01-15,Dylan,Jett,15,7,11,9,11,true
2024-01-16,Dylan,Astra,25,7,9,4,5,false
2024-01-17,Dylan,Astra,22,6,3,4,10,true
2024-01-18,Dylan,Viper,22,11,9,5,9,true
2024-01-19,Dylan,Omen,9,8,11,2,6,false
2024-01-20,Dylan,Jett,12,10,6,3,13,false
2024-01-21,Dylan,Jett,14,7,9,12,5,true
