date,player,map,start_side,kills,deaths,assists,mvps,won
2023-09-02,Kiara,Nuke,CT,12,12,1,1,true
2023-09-03,Kiara,Inferno,CT,23,8,2,2,false
2023-09-04,Kiara,Mirage,CT,19,6,6,2,false
2023-09-05,Kiara,Dust2,CT,22,15,4,0,true
2023-09-06,Kiara,Dust2,T,22,12,1,0,false
2023-09-07,Kiara,Inferno,T,10,12,6,3,false
2023-09-08,Kiara,Dust2,CT,10,15,5,0,false
2023-09-09,Kiara,Nuke,CT,21,7,0,3,true
2023-09-10,Kiara,Dust2,CT,22,13,1,0,false
2023-09-11,Kiara,Mirage,CT,22,6,3,0,true
2023-09-12,Kiara,Inferno,T,18,6,6,0,false
2023-09-13,Kiara,Dust2,T,10,16,7,2,false
2023-09-14,Kiara,Nuke,CT,16,7,3,3,true
2023-09-15,Kiara,Inferno,CT,26,13,5,0,true
2023-09-16,Kiara,Ancient,CT,22,7,0,2,false
2023-09-17,Kiara,Nuke,CT,12,8,4,2,true
2023-09-18,Kiara,Nuke,T,22,9,4,4,true
2023-09-19,Kiara,Dust2,CT,26,6,1,1,false
2023-09-20,Kiara,Mirage,T,17,7,7,0,false
2023-09-21,Kiara,Mirage,CT,23,15,0,0,true
