date,player,champion,role,kills,deaths,assists,cs,vision_score,won
2024-01-07,Noé,Thresh,Support,2,4,18,41,62,true
2024-01-12,Noé,Nautilus,Support,1,5,15,38,55,false
2024-01-16,Noé,Lulu,Support,3,3,20,45,72,true
2024-01-21,Noé,Thresh,Support,0,6,22,35,68,true
2024-01-26,Noé,Soraka,Support,0,4,17,42,61,false
2024-01-31,Noé,Leona,Support,2,5,19,37,58,true
2024-02-05,Noé,Nautilus,Support,1,7,14,33,52,false
2024-02-09,Noé,Thresh,Support,3,4,21,40,74,true
2024-02-13,Noé,Blitzcrank,Support,2,5,16,38,63,true
2024-02-16,Noé,Lulu,Support,0,3,23,47,78,true
2024-02-20,Noé,Janna,Support,1,4,18,44,66,false
2024-02-24,Noé,Thresh,Support,2,6,20,36,71,true
2024-02-28,Noé,Soraka,Support,0,5,15,39,60,false
2024-03-03,Noé,Leona,Support,3,4,24,41,80,true
2024-03-07,Noé,Nautilus,Support,1,6,17,35,54,false
2024-03-11,Noé,Thresh,Support,2,5,22,43,73,true
2024-03-15,Noé,Blitzcrank,Support,1,4,19,37,65,true
2024-03-19,Noé,Lulu,Support,0,3,25,46,82,true
2024-03-23,Noé,Janna,Support,2,5,16,40,62,false
2024-03-27,Noé,Thresh,Support,3,4,21,44,76,true
2024-04-01,Noé,Soraka,Support,0,6,18,32,57,false
2024-04-06,Noé,Nautilus,Support,1,5,20,38,68,true
2024-04-11,Noé,Thresh,Support,2,4,23,42,78,true
2024-04-16,Noé,Leona,Support,1,7,15,35,55,false
2024-04-21,Noé,Lulu,Support,0,4,22,45,72,true
