date,player,champion,role,kills,deaths,assists,cs,vision_score,won
2024-01-02,Noé,Nautilus,Support,2,3,15,40,57,true
2024-01-03,Noé,Soraka,Support,2,3,23,35,59,false
2024-01-04,Noé,Leona,Support,1,4,20,32,77,false
2024-01-05,Noé,Thresh,Support,0,3,22,45,68,true
2024-01-06,Noé,Thresh,Support,0,7,22,40,57,false
2024-01-07,Noé,Blitzcrank,Support,2,7,14,40,76,false
2024-01-08,Noé,Thresh,Support,0,3,14,44,71,false
2024-01-09,Noé,Leona,Support,3,4,21,34,53,true
2024-01-10,Noé,Thresh,Support,0,5,22,42,58,false
2024-01-11,Noé,Thresh,Support,1,3,22,33,66,true
2024-01-12,Noé,Thresh,Support,1,5,19,32,77,false
2024-01-13,Noé,Soraka,Support,0,6,14,46,80,false
2024-01-14,Noé,Blitzcrank,Support,2,3,18,34,65,true
2024-01-15,Noé,Thresh,Support,1,4,24,41,74,true
2024-01-16,Noé,Soraka,Support,3,4,22,34,55,false
2024-01-17,Noé,Soraka,Support,3,3,15,35,70,true
2024-01-18,Noé,Janna,Support,3,6,22,36,69,true
2024-01-19,Noé,Nautilus,Support,0,4,25,32,58,false
2024-01-20,Noé,Thresh,Support,0,5,19,33,82,false
2024-01-21,Noé,Thresh,Support,1,4,23,45,52,true
